experiment,controller_group,model,gpu,prefix_cache,run,phase,health_status,duration_s,windows,offered_mbps,delivered_mbps,access_rx_packets,core_tx_packets,app_qer_red_packets,policing_ratio,pdr_fail,far_fail,bad_route,n3_rx_drops,n6_tx_drops,action_count,fallback_count,tool_failure_count,oscillation_count,mean_llm_latency_ms,mean_total_tokens,notes,source_campaign
e1_static,baseline,,,,run_09,D,OK,86.0,,627.8073418666667,518.093428,22857064.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_10,A,OK,85.0,,627.8073418666667,518.093428,22857064.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_10,B,WARN,84.0,,941.7083725333333,562.1285053333334,34285499.0,24799787.0,9485711,0.2766683080797511,0,0,0,124,0,,,,,,,"tiny NIC drops n3_rx=124, n6_tx=0, rate=0.000002",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_10,C,WARN,84.0,,1098.6637941333333,650.210968,39999896.0,28685778.0,11314115,0.2828536174907459,0,0,0,8,0,,,,,,,"tiny NIC drops n3_rx=8, n6_tx=0, rate=0.000000",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e1_static,baseline,,,,run_10,D,OK,84.0,,627.8073304,518.093428,22857063.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_01,A,OK,84.0,,627.8073418666667,518.093428,22857064.0,22857063.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_01,B,OK,84.0,,941.7117784,507.7314293333333,34285623.0,22399916.0,9485788,0.27666955329935233,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_01,C,OK,84.0,,1098.6640138666667,574.5590413333334,39999904.0,25348193.0,11314624,0.2828662859507434,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_01,D,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_02,A,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_02,B,OK,85.0,,941.7118173333333,507.7439866666667,34285625.0,22400470.0,9484734,0.2766388034821825,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_02,C,OK,84.0,,1098.6640024,574.59592,39999903.0,25349820.0,11313125,0.28282881085986633,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_02,D,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_03,A,OK,84.0,,627.8073853333334,518.0934733333333,22857065.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_03,B,OK,84.0,,941.7118173333333,507.7305226666667,34285625.0,22399876.0,9485884,0.27667234523717577,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_03,C,WARN,85.0,,1098.6515874666668,574.5682213333333,39999451.0,25348598.0,11313882,0.2828509321290435,0,0,0,452,0,,,,,,,"tiny NIC drops n3_rx=452, n6_tx=0, rate=0.000007",/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
e2_threshold,baseline,,,,run_03,D,OK,84.0,,627.8073968,518.0934733333333,22857066.0,22857065.0,0,0.0,0,0,0,0,0,,,,,,,clean,/home/ubuntu/agentic_qos_results/campaigns/campaign_20260509_baselines_5slices
