experiment,run,phase,elapsed_between_snapshots_s,access_rx_packets_delta,core_tx_packets_delta,access_rx_bytes_delta,core_tx_bytes_delta,estimated_access_rx_mbps_expected_window,estimated_core_tx_mbps_expected_window,estimated_access_rx_mbps_elapsed_window,estimated_core_tx_mbps_elapsed_window,pdr_to_gtpu_delta,pdr_fail_delta,gtpu_decap_delta,app_qer_pass_delta,app_qer_meter_red_delta,app_qer_fail_delta,session_qer_meter_red_delta,far_forward_delta,far_fail_delta,route_forward_delta,bad_route_delta,n3_rx_packets_delta,n6_tx_packets_delta,n3_rx_dropped_delta,n6_tx_dropped_delta,pfcp_sessions_before,pfcp_sessions_after,trex_has_error,trex_has_job_done,health_status,notes
e2_threshold,run_03,B,84.0,34285625.0,22399876.0,7062838630.0,3807978920.0,941.7118173333333,507.7305226666667,672.6512980952381,362.66465904761907,34285624,0,34285624,24799740,9485884,0,2399864,22399876,0,22399876,0,34285625,22399876,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_03,C,85.0,39999451.0,25348598.0,8239886906.0,4309261660.0,1098.6515874666668,574.5682213333333,775.5187676235295,405.577568,39999451,0,39999451,28685569,11313882,0,3336971,25348598,0,25348598,0,39999451,25348598,452,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=452, n6_tx=0, rate=0.000007"
e2_threshold,run_03,D,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_04,A,85.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,443.15815435294115,365.71304,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_04,B,85.0,34284964.0,22399555.0,7062702464.0,3807924350.0,941.6936618666667,507.7232466666667,664.7249377882353,358.39288,34284963,0,34284963,24799389,9485574,0,2399834,22399555,0,22399555,0,34284964,22399555,661,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=661, n6_tx=0, rate=0.000012"
e2_threshold,run_04,C,84.0,39999903.0,25350149.0,8239980018.0,4309525330.0,1098.6640024,574.6033773333334,784.7600017142857,410.4309838095238,39999903,0,39999903,28687061,11312842,0,3336912,25350149,0,25350149,0,39999903,25350149,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_04,D,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_05,A,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_05,B,84.0,34285625.0,22399958.0,7062838630.0,3807992860.0,941.7118173333333,507.7323813333333,672.6512980952381,362.6659866666667,34285624,0,34285624,24799885,9485739,0,2399927,22399958,0,22399958,0,34285625,22399958,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_05,C,85.0,39999903.0,25348075.0,8239980018.0,4309172750.0,1098.6640024,574.5563666666666,775.5275311058824,405.5692,39999903,0,39999903,28685170,11314733,0,3337095,25348075,0,25348075,0,39999903,25348075,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_05,D,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_06,A,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_06,B,85.0,34285383.0,22399658.0,7062788898.0,3807941860.0,941.7051864,507.7255813333333,664.7330727529411,358.394528,34285383,0,34285383,24799499,9485884,0,2399841,22399658,0,22399658,0,34285383,22399658,241,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=241, n6_tx=0, rate=0.000004"
e2_threshold,run_06,C,84.0,39999903.0,25348755.0,8239980018.0,4309288350.0,1098.6640024,574.57178,784.7600017142857,410.4084142857143,39999903,0,39999903,28685825,11314078,0,3337070,25348755,0,25348755,0,39999903,25348755,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_06,D,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_07,A,86.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,438.00515255813957,361.4605627906977,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_07,B,87.0,34285625.0,22400361.0,7062838630.0,3808061370.0,941.7118173333333,507.741516,649.4564257471264,350.16656275862067,34285624,0,34285624,24800640,9484984,0,2400279,22400361,0,22400361,0,34285624,22400361,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_07,C,85.0,39999903.0,25350157.0,8239980018.0,4309526690.0,1098.6640024,574.6035586666666,775.5275311058824,405.602512,39999903,0,39999903,28687172,11312731,0,3337015,25350157,0,25350157,0,39999903,25350157,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_07,D,86.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,438.00516055813955,361.4605627906977,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_08,A,86.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,438.00516055813955,361.4605627906977,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_08,B,84.0,34285624.0,22400342.0,7062838544.0,3808058140.0,941.7118058666666,507.74108533333333,672.6512899047619,362.6722038095238,34285624,0,34285624,24800294,9485330,0,2399952,22400342,0,22400342,0,34285624,22400342,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_08,C,84.0,39999523.0,25351367.0,8239901618.0,4309732390.0,1098.6535490666665,574.6309853333333,784.7525350476191,410.4507038095238,39999522,0,39999522,28688340,11311182,0,3336973,25351367,0,25351367,0,39999523,25351367,381,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=381, n6_tx=0, rate=0.000006"
e2_threshold,run_08,D,85.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,443.15815435294115,365.71304,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_09,A,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_09,B,85.0,34285378.0,22399797.0,7062787868.0,3807965490.0,941.7050490666667,507.728732,664.7329758117647,358.396752,34285378,0,34285378,24799698,9485680,0,2399901,22399797,0,22399797,0,34285378,22399797,246,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=246, n6_tx=0, rate=0.000004"
e2_threshold,run_09,C,84.0,39999904.0,25347712.0,8239980104.0,4309111040.0,1098.6640138666667,574.5481386666667,784.7600099047619,410.3915276190476,39999903,0,39999903,28684804,11315099,0,3337092,25347712,0,25347712,0,39999904,25347712,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_09,D,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_10,A,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_10,B,84.0,34285189.0,22399801.0,7062748934.0,3807966170.0,941.6998578666667,507.7288226666667,672.6427556190476,362.66344476190477,34285189,0,34285189,24799836,9485353,0,2400035,22399801,0,22399801,0,34285189,22399801,435,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=435, n6_tx=0, rate=0.000008"
e2_threshold,run_10,C,85.0,39999904.0,25350062.0,8239980104.0,4309510540.0,1098.6640138666667,574.6014053333333,775.5275392000001,405.600992,39999903,0,39999903,28687011,11312892,0,3336949,25350062,0,25350062,0,39999904,25350062,0,0,5.0,5.0,False,False,OK,clean
e2_threshold,run_10,D,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_01,A,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_01,B,84.0,34285625.0,24800289.0,7062838630.0,4216049130.0,941.7118173333333,562.139884,672.6512980952381,401.5284885714286,34285624,0,34285624,24800289,9485335,0,0,24800289,0,24800289,0,34285625,24800289,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_01,C,85.0,39999374.0,28685594.0,8239871044.0,4876550980.0,1098.6494725333332,650.2067973333334,775.5172747294117,458.969504,39999374,0,39999374,28685594,11313780,0,0,28685594,0,28685594,0,39999374,28685594,529,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=529, n6_tx=0, rate=0.000008"
e3_greedy,run_01,D,84.0,22857066.0,22857065.0,4708555476.0,3885701050.0,627.8073968,518.0934733333333,448.4338548571429,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857066,22857065,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_02,A,84.0,22857065.0,22857065.0,4708555390.0,3885701050.0,627.8073853333334,518.0934733333333,448.4338466666667,370.0667666666667,22857065,0,22857065,22857065,0,0,0,22857065,0,22857065,0,22857065,22857065,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_02,B,84.0,34285625.0,24800656.0,7062838630.0,4216111520.0,941.7118173333333,562.1482026666666,672.6512980952381,401.53443047619044,34285624,0,34285624,24800656,9484968,0,0,24800656,0,24800656,0,34285625,24800656,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_02,C,86.0,39999789.0,28685001.0,8239956534.0,4876450170.0,1098.6608712,650.193356,766.5075845581396,453.623271627907,39999789,0,39999789,28685001,11314788,0,0,28685001,0,28685001,0,39999789,28685001,114,0,5.0,5.0,False,False,WARN,"tiny NIC drops n3_rx=114, n6_tx=0, rate=0.000002"
e3_greedy,run_02,D,86.0,22857062.0,22857061.0,4708554652.0,3885700370.0,627.8072869333333,518.0933826666667,438.0050839069768,361.46049953488375,22857061,0,22857061,22857061,0,0,0,22857061,0,22857061,0,22857062,22857061,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_03,A,84.0,22857062.0,22857061.0,4708554652.0,3885700370.0,627.8072869333333,518.0933826666667,448.43377638095234,370.0667019047619,22857061,0,22857061,22857061,0,0,0,22857061,0,22857061,0,22857062,22857061,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_03,B,84.0,34285620.0,24799874.0,7062837720.0,4215978580.0,941.711696,562.1304773333334,672.6512114285715,401.52176952380955,34285620,0,34285620,24799874,9485746,0,0,24799874,0,24799874,0,34285620,24799874,0,0,5.0,5.0,False,False,OK,clean
e3_greedy,run_03,C,84.0,39999903.0,28686152.0,8239980018.0,4876645840.0,1098.6640024,650.2194453333334,784.7600017142857,464.44246095238094,39999903,0,39999903,28686152,11313751,0,0,28686152,0,28686152,0,39999904,28686152,0,0,5.0,5.0,False,False,OK,clean
